id,name,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
339,Miscellaneous manufacturing,228,8,9,23,15,0,800,20,156,42,41,2594,3,356,1432,75,10,8250,37,130,228,1,8,4,531,55,642,116,120,3,451,0,2,...,7,3,2,144,120,6,2,131,232,98,48,50,0,9,85,107,18,36,2192,23,1201,617,547,18637,17870,1594,770,84,195,217,599,1490,230,289,0,5798,80
311FT,Food and beverage and tobacco products,29643,303,...,...,...,...,...,19,61,4,...,...,...,...,...,...,...,14,169013,19,778,550,725,206,4282,52,1406,3,3055,869,905,73,...,42,...,...,...,34,...,27,14,...,7,...,...,...,...,...,...,...,...,...,1161,123,1,...,11671,13,9647,5749,4437,880,3935,9306,71547,913,2304,-263,1669,34637,...
313TT,Textile mills and textile product mills,199,78,...,2,...,...,1323,384,293,...,0,1291,3,5,4733,999,2257,2055,140,8121,3825,2693,367,23,4,2580,761,63,115,1871,2210,0,...,134,10,...,5,49,6,9,71,10,39,0,4,20,...,55,32,206,...,...,298,8,99,55,22,38,715,804,329,1,328,487,394,733,897,151,4,1468,5
315AL,Apparel and leather and allied products,30,...,...,...,...,2,...,0,0,...,...,...,1,...,1557,...,...,59,10,755,1962,...,787,16,...,0,452,25,1,466,252,...,...,...,...,...,...,0,...,0,1,421,1,3,...,...,...,...,...,89,...,...,37,4,221,140,10,24,24,...,211,36,15,8,56,1161,220,7,89,2214,17
322,Paper products,466,2,30,150,67,40,2537,472,1243,1789,2283,2521,810,1011,3043,1148,1024,2197,20401,451,103,37512,6789,139,4171,4141,3516,186,1148,333,1970,24,46,20,253,77,117,1612,294,1546,150,578,431,480,178,393,8,70,253,548,333,269,4287,566,2454,339,535,1722,2538,764,442,184,248,2161,3324,1095,228,846,186,8882,16
323,Printing and related support activities,31,1,6,5,...,3,32,12,...,0,2,25,0,6,5,...,...,0,299,...,94,...,1507,3,434,...,4719,197,191,38,4731,...,18,...,186,44,13,82,13,5616,427,411,1970,222,2771,4232,...,0,19,254,664,207,5859,1090,2070,30,1056,1629,1796,144,796,887,231,732,755,1554,917,893,255,7686,232
324,Petroleum and coal products,20647,974,2386,6162,2970,19910,47233,918,1192,2331,1104,2693,329,1225,759,797,321,747,4097,231,45,3537,2347,21451,15904,1428,4583,929,701,353,2453,41139,10299,10511,61082,5334,801,11364,1202,223,61,759,357,1372,357,70,14,302,2501,2155,147,476,1997,2139,6855,2245,1711,1465,7927,1827,948,458,1693,1467,3530,4322,31123,1735,4340,103217,16043
325,Chemical products,17704,1813,6696,1803,1490,1964,7628,2373,5322,2227,9032,5984,4193,3034,8107,2688,1514,7580,8095,11651,531,12302,5622,10134,223152,63954,1845,151,101,15,706,2,225,8,334,11,11,605,155,430,74,2315,650,66,51,76,1,277,6045,368,92,95,14671,3862,5202,1672,1155,23869,19166,1927,481,160,979,155,1636,4122,1774,1565,130,21918,3135
326,Plastics and rubber products,1937,162,36,1393,282,27,16883,554,1003,1000,2367,9742,2080,1569,27136,3906,4208,4884,19811,422,205,2344,466,162,8121,16194,7145,1511,1802,320,4073,2,11,1,1800,31,273,3235,413,421,69,3505,692,38,85,1072,1,305,566,1581,81,346,5198,224,1704,347,1331,6756,3992,1438,919,63,313,149,8167,4926,2128,378,62,7320,1838
42,Wholesale trade,22535,1832,2722,3213,1793,4214,45363,6164,3879,18846,13057,28018,10900,7985,45542,11967,4217,8041,57580,2846,1892,9289,2195,12688,31399,9868,39730,3594,2113,1579,19150,3403,3424,3173,16346,1406,387,5177,864,11680,163,11562,3201,864,649,740,70,1233,1742,8008,552,1479,11462,2633,6181,2186,4026,15168,13725,2682,1915,476,2037,2643,17847,8580,11947,1627,1855,26024,4932
441,Motor vehicle and parts dealers,10,2,16,39,29,4,1760,42,62,64,101,1127,46,1,572,372,38,77,313,12,1,89,21,0,117,47,107,1170,202,6,567,0,8,0,1456,5,1,127,33,45,4,73,4,24,26,27,...,25,244,161,0,3,221,...,427,25,0,...,0,0,0,2,7,9,41,2603,0,0,0,0,1
445,Food and beverage stores,6,0,1,1,0,3,474,0,2,1,6,25,4,7,32,0,31,34,60,0,0,7,55,2,84,8,20,48,18,1,42,0,1,0,83,2,2,1,1,1,0,1,6,5,2,3,...,201,43,5,3,2,25,...,46,1,4,15,10,1,2,1,2,55,39,88,0,0,0,3,0
